employee_index,user_id,user_role,department,experience_level,task_type,AI_tool_used,hours_worked_per_week,time_saved_per_week,satisfaction_score,performance_improvement_pct,usage_frequency,country,remote_status,predicted_time_saved
43,U0043,Developer,Tech,Mid,Code Review,Copilot,44.5,9.2,5,23.0,Weekly,USA,Remote,9.153783619589724
44,U0044,HR Specialist,HR,Junior,Policy Q&A,Gemini,46.8,12.2,7,30.9,Daily,India,Hybrid,12.180266490450524
45,U0045,Marketing Specialist,Marketing,Mid,Market Research,Gemini,37.4,5.8,6,10.5,Weekly,USA,Hybrid,6.834536530211748
46,U0046,Financial Analyst,Finance,Mid,Forecasting,ChatGPT,32.7,9.2,5,23.4,Daily,Japan,Remote,9.247201881879121
47,U0047,Data Analyst,Tech,Mid,Visualization,Copilot,40.5,6.8,3,17.6,Daily,India,Office,6.692489864351534
48,U0048,Financial Analyst,Finance,Mid,Data Analysis,Gemini,41.9,9.5,5,24.5,Occasional,Japan,Office,9.504102103174962
49,U0049,Data Analyst,Tech,Senior,Query Generation,Notion AI,46.3,12.5,7,29.6,Daily,Germany,Hybrid,12.015395609419272
50,U0050,Data Analyst,Tech,Junior,Data Analysis,Gemini,36.8,5.8,4,12.6,Weekly,Germany,Hybrid,6.106160169213623
51,U0051,Developer,Tech,Junior,Code Review,Copilot,39.6,11.1,6,28.3,Weekly,USA,Hybrid,10.972974178403778
52,U0052,Manager,Management,Mid,Report Writing,ChatGPT,43.7,8.7,5,22.2,Daily,Germany,Hybrid,8.966947095010932
53,U0053,Marketing Specialist,Marketing,Mid,Ideation,Notion AI,35.1,8.0,4,14.4,Weekly,Australia,Hybrid,6.5452173732020285
54,U0054,Financial Analyst,Finance,Mid,Data Analysis,Copilot,38.8,4.8,2,16.3,Daily,Australia,Hybrid,5.788806904745326
55,U0055,Developer,Tech,Junior,Coding Help,ChatGPT,45.4,5.7,3,14.6,Weekly,Germany,Office,5.9731778734949375
56,U0056,Developer,Tech,Mid,Code Review,Copilot,40.8,8.8,4,20.5,Daily,USA,Hybrid,7.969845873115327
57,U0057,HR Specialist,HR,Junior,Job Description Writing,ChatGPT,41.1,8.2,4,18.5,Daily,Japan,Hybrid,7.484079537982223
58,U0058,Manager,Management,Senior,Scheduling,Gemini,36.2,8.1,4,21.7,Daily,USA,Hybrid,8.370164107706682
59,U0059,Financial Analyst,Finance,Senior,Report Writing,ChatGPT,37.9,10.0,5,19.0,Weekly,Germany,Hybrid,8.339664444418924
60,U0060,Developer,Tech,Mid,Documentation,Copilot,43.1,8.9,4,21.9,Daily,USA,Remote,8.296809791128215
61,U0061,Manager,Management,Senior,Strategy,Notion AI,41.0,7.8,4,18.2,Weekly,USA,Hybrid,7.552754312674462
62,U0062,HR Specialist,HR,Senior,Email Drafting,Gemini,35.6,14.4,9,42.6,Daily,India,Office,16.251636348155998
63,U0063,Developer,Tech,Mid,Coding Help,Copilot,44.9,7.3,4,15.5,Daily,UK,Remote,6.802117594497869
64,U0064,Financial Analyst,Finance,Senior,Email Drafting,Gemini,48.1,8.0,4,19.7,Occasional,India,Office,7.903072796259699
65,U0065,Manager,Management,Junior,Strategy,Gemini,36.5,2.9,3,1.8,Occasional,USA,Hybrid,2.9837934802342456
66,U0066,Designer,Marketing,Mid,Image Generation,ChatGPT,49.2,9.9,5,25.9,Weekly,Germany,Hybrid,9.83106602118785
67,U0067,Developer,Tech,Junior,Documentation,Gemini,44.0,7.1,4,16.5,Weekly,Japan,Hybrid,7.01698822653524
68,U0068,HR Specialist,HR,Mid,Report Writing,Notion AI,41.2,4.2,2,16.4,Occasional,Japan,Hybrid,5.812161470317674
69,U0069,Developer,Tech,Mid,Documentation,Gemini,44.6,7.8,5,22.6,Daily,Germany,Remote,9.060365357300329
70,U0070,Financial Analyst,Finance,Mid,Data Analysis,Gemini,38.6,8.1,5,17.5,Daily,USA,Office,7.869282513110521
71,U0071,Financial Analyst,Finance,Mid,Report Writing,Gemini,44.3,8.6,7,22.5,Weekly,USA,Office,10.237158006059316
72,U0072,HR Specialist,HR,Mid,Report Writing,Gemini,39.8,9.1,6,23.6,Daily,USA,Office,9.893984620189489
73,U0073,Designer,Marketing,Mid,Copywriting,Notion AI,39.3,8.8,7,24.2,Daily,Japan,Remote,10.634185620789252
74,U0074,Marketing Specialist,Marketing,Junior,Market Research,Other,43.9,8.0,2,21.3,Weekly,UK,Hybrid,6.937860159676663
75,U0075,Developer,Tech,Mid,Code Review,Copilot,33.8,9.3,5,27.5,Daily,USA,Remote,10.204739070345436
76,U0076,Marketing Specialist,Marketing,Mid,Market Research,Gemini,40.0,8.1,5,26.2,Daily,Japan,Remote,9.901129717904897
77,U0077,Data Analyst,Tech,Junior,Query Generation,Copilot,43.9,8.0,4,19.1,Daily,Australia,Hybrid,7.624206931416318
78,U0078,Designer,Marketing,Mid,Image Generation,Notion AI,39.0,7.1,7,21.2,Daily,India,Hybrid,9.933548653618777
79,U0079,Data Analyst,Tech,Mid,Data Analysis,Gemini,44.3,8.2,5,23.0,Daily,USA,Hybrid,9.153783619589724
80,U0080,Marketing Specialist,Marketing,Mid,Ideation,Other,34.6,10.6,4,21.8,Daily,Germany,Hybrid,8.273455225555866
81,U0081,Data Analyst,Tech,Mid,Query Generation,Gemini,51.6,9.3,6,20.3,Daily,Japan,Remote,9.123283956301966
82,U0082,Marketing Specialist,Marketing,Senior,Market Research,ChatGPT,38.1,9.1,4,21.1,Daily,India,Remote,8.230036714272588
83,U0083,Developer,Tech,Senior,Bug Fixing,Copilot,46.7,15.2,7,38.3,Daily,USA,Remote,14.047242814213647
84,U0084,Developer,Tech,Junior,Code Review,Copilot,40.2,10.3,6,20.3,Weekly,India,Remote,9.104608932615845
85,U0085,Developer,Tech,Junior,Coding Help,Copilot,43.1,14.4,7,30.8,Daily,USA,Remote,12.156911924878175
86,U0086,Developer,Tech,Junior,Coding Help,Gemini,50.8,7.4,4,18.4,Daily,USA,Hybrid,7.460724972409873
87,U0087,Developer,Tech,Junior,Documentation,Other,44.1,0.5,1,2.1,Daily,USA,Office,1.8537099626199556
88,U0088,Manager,Management,Mid,Report Writing,Notion AI,45.3,4.8,3,9.6,Occasional,UK,Hybrid,4.824124618563601
89,U0089,Designer,Marketing,Mid,Image Generation,Gemini,39.1,8.3,5,18.8,Daily,USA,Office,8.17289186555106
90,U0090,Designer,Marketing,Junior,Ideation,Other,46.7,4.7,1,8.3,Weekly,USA,Hybrid,3.3016930281056034
91,U0091,Developer,Tech,Mid,Bug Fixing,Copilot,39.2,6.9,4,18.3,Weekly,India,Office,7.456045430523646
92,U0092,Manager,Management,Senior,Email Drafting,Gemini,36.9,8.0,5,21.9,Daily,Japan,Hybrid,9.01694684601705
93,U0093,Developer,Tech,Junior,Coding Help,Copilot,40.7,8.1,5,24.0,Weekly,USA,Hybrid,9.368654251627095
94,U0094,Manager,Management,Mid,Scheduling,ChatGPT,43.7,6.0,3,13.3,Weekly,India,Hybrid,5.688243544740519
95,U0095,Data Analyst,Tech,Junior,Report Writing,Notion AI,47.8,5.9,3,12.3,Weekly,India,Office,5.436022865330907
96,U0096,Developer,Tech,Mid,Coding Help,Copilot,42.3,11.9,6,24.8,Daily,Japan,Hybrid,10.174239407057678
97,U0097,HR Specialist,HR,Junior,Email Drafting,Notion AI,44.9,5.3,3,13.8,Daily,Canada,Office,5.786341348916144
98,U0098,Marketing Specialist,Marketing,Junior,Copywriting,Notion AI,44.7,11.6,6,30.2,Daily,Canada,Remote,11.416710924278412
99,U0099,Designer,Marketing,Junior,Ideation,Gemini,43.9,9.8,6,24.6,Daily,India,Remote,10.10885525222686
100,U0100,Data Analyst,Tech,Senior,Visualization,Notion AI,45.1,8.0,5,22.9,Occasional,Germany,Remote,9.25049250174054
101,U0101,Designer,Marketing,Mid,Asset Creation,Copilot,45.7,10.6,6,26.2,Daily,USA,Hybrid,10.501203325070566
102,U0102,Marketing Specialist,Marketing,Mid,Email Drafting,ChatGPT,48.6,10.3,5,30.7,Daily,Canada,Hybrid,10.95208516866061
103,U0103,HR Specialist,HR,Mid,Report Writing,ChatGPT,43.0,8.4,5,24.8,Weekly,USA,Hybrid,9.57416579989201
104,U0104,HR Specialist,HR,Mid,Report Writing,Gemini,44.8,10.9,6,26.0,Daily,USA,Office,10.454494193925868
105,U0105,Data Analyst,Tech,Junior,Data Analysis,Gemini,44.6,5.4,3,14.6,Daily,Australia,Hybrid,5.9731778734949375
106,U0106,Developer,Tech,Senior,Documentation,Gemini,48.7,10.6,6,29.5,Daily,UK,Remote,11.391967436681254
107,U0107,Data Analyst,Tech,Mid,Query Generation,Gemini,44.4,6.0,5,13.4,Occasional,Germany,Hybrid,6.9117453246442055
108,U0108,Manager,Management,Senior,Scheduling,ChatGPT,40.5,6.1,2,16.2,Occasional,Australia,Office,5.885515786896141
109,U0109,Financial Analyst,Finance,Mid,Email Drafting,Gemini,43.8,6.0,5,14.7,Weekly,USA,Office,7.215354677084744
110,U0110,Financial Analyst,Finance,Mid,Report Writing,Gemini,43.3,10.2,6,31.4,Daily,USA,Office,11.715640734832721
111,U0111,Developer,Tech,Mid,Coding Help,Copilot,50.7,10.1,5,23.7,Daily,USA,Remote,9.317265578596169
112,U0112,Developer,Tech,Mid,Documentation,Other,33.5,9.1,4,18.5,Daily,Japan,Remote,7.502754561668344
113,U0113,HR Specialist,HR,Mid,Policy Q&A,ChatGPT,45.0,8.0,4,21.6,Weekly,USA,Hybrid,8.226746094411169
114,U0114,HR Specialist,HR,Junior,Email Drafting,Gemini,41.2,9.4,6,22.5,Daily,Japan,Hybrid,9.618409375207527
115,U0115,Data Analyst,Tech,Mid,Visualization,Gemini,37.8,5.4,4,13.3,Weekly,Japan,Hybrid,6.288317151906188
116,U0116,HR Specialist,HR,Senior,Job Description Writing,Notion AI,43.8,5.9,2,12.3,Daily,Canada,Office,4.974687729574525
117,U0117,Marketing Specialist,Marketing,Senior,Email Drafting,Notion AI,34.7,9.7,5,22.0,Daily,Japan,Hybrid,9.040301411589398
118,U0118,Manager,Management,Mid,Email Drafting,ChatGPT,48.2,10.5,5,26.0,Weekly,Australia,Remote,9.854420586760199
119,U0119,Developer,Tech,Mid,Documentation,ChatGPT,44.1,8.5,4,12.1,Daily,India,Hybrid,6.008062365037997
120,U0120,Developer,Tech,Mid,Documentation,Copilot,40.2,7.6,4,21.7,Daily,India,Remote,8.250100659983516
121,U0121,Designer,Marketing,Mid,Copywriting,Notion AI,45.6,12.4,8,34.0,Daily,USA,Remote,13.523006654045137
122,U0122,HR Specialist,HR,Junior,Report Writing,Gemini,39.1,11.1,6,28.6,Daily,India,Office,11.043037875120826
123,U0123,Manager,Management,Mid,Email Drafting,Copilot,44.2,12.9,6,33.0,Daily,USA,Remote,12.08931378399031
124,U0124,Manager,Management,Mid,Report Writing,ChatGPT,43.8,8.3,4,23.8,Daily,USA,Remote,8.74054653700285
125,U0125,Marketing Specialist,Marketing,Mid,Email Drafting,Gemini,47.6,7.7,4,29.0,Daily,USA,Remote,9.954983946765005
126,U0126,Designer,Marketing,Junior,Ideation,Other,45.3,7.1,2,17.5,Weekly,India,Hybrid,6.050386667927395
127,U0127,Developer,Tech,Senior,Code Review,Copilot,48.9,9.5,5,24.0,Daily,Germany,Hybrid,9.507392723036382
128,U0128,Marketing Specialist,Marketing,Mid,Copywriting,Gemini,44.1,2.0,1,9.4,Weekly,Canada,Remote,3.577268273087565
129,U0129,Data Analyst,Tech,Mid,Data Analysis,Notion AI,39.2,4.0,2,7.7,Daily,USA,Remote,3.780314265523298
130,U0130,Data Analyst,Tech,Senior,Query Generation,ChatGPT,39.5,9.5,6,20.8,Weekly,Germany,Remote,9.360120231886878
131,U0131,Developer,Tech,Junior,Code Review,Gemini,49.8,7.0,5,14.2,Weekly,Japan,Hybrid,7.079906825536877
132,U0132,Developer,Tech,Mid,Documentation,ChatGPT,32.5,3.8,3,8.6,Weekly,USA,Office,4.590578962840109
133,U0133,HR Specialist,HR,Mid,Report Writing,ChatGPT,39.0,12.3,6,33.6,Daily,UK,Office,12.229441177424404
134,U0134,Manager,Management,Junior,Scheduling,Other,39.5,5.7,2,13.4,Daily,USA,Hybrid,5.092849479461079
135,U0135,Marketing Specialist,Marketing,Junior,Market Research,Gemini,35.5,5.0,4,10.5,Weekly,USA,Office,5.615714292194291
136,U0136,Developer,Tech,Junior,Code Review,ChatGPT,40.2,6.7,3,12.1,Daily,USA,Remote,5.389313734186208
137,U0137,Financial Analyst,Finance,Mid,Forecasting,Gemini,37.3,5.6,4,15.4,Daily,USA,Office,6.77876302892552
138,U0138,Manager,Management,Senior,Report Writing,ChatGPT,32.6,9.6,5,27.8,Daily,USA,Remote,10.39486621478565
139,U0139,Marketing Specialist,Marketing,Junior,Market Research,Notion AI,38.6,9.3,6,15.8,Daily,UK,Remote,8.053653481860133
140,U0140,HR Specialist,HR,Senior,Job Description Writing,Notion AI,47.1,10.4,5,27.8,Daily,USA,Office,10.39486621478565
141,U0141,Developer,Tech,Mid,Code Review,Gemini,39.1,10.6,7,26.0,Daily,USA,Hybrid,11.054567801091537
142,U0142,Designer,Marketing,Mid,Ideation,Gemini,40.5,11.0,5,26.3,Daily,Germany,Hybrid,9.924484283477247
143,U0143,HR Specialist,HR,Senior,Email Drafting,Notion AI,41.0,4.9,4,14.3,Occasional,USA,Remote,6.641926255352844
144,U0144,Designer,Marketing,Senior,Asset Creation,Gemini,42.5,8.9,6,23.4,Weekly,USA,Hybrid,9.967338936767955
145,U0145,Developer,Tech,Mid,Code Review,ChatGPT,41.0,11.9,6,27.6,Daily,Germany,Remote,10.828167243083454
146,U0146,Data Analyst,Tech,Junior,Query Generation,Gemini,32.8,5.1,3,8.7,Weekly,Germany,Remote,4.595258504726337
147,U0147,Designer,Marketing,Mid,Image Generation,Notion AI,43.5,5.8,4,18.5,Daily,Germany,Remote,7.502754561668344
148,U0148,Developer,Tech,Mid,Code Review,Copilot,44.0,14.3,8,35.2,Daily,Japan,Remote,13.803261440913328
149,U0149,HR Specialist,HR,Mid,Report Writing,ChatGPT,41.8,6.8,4,18.1,Daily,India,Hybrid,7.409336299378948
150,U0150,Data Analyst,Tech,Senior,Visualization,Gemini,45.4,6.4,4,14.1,Weekly,USA,Hybrid,6.595217124208146
151,U0151,Financial Analyst,Finance,Mid,Email Drafting,Other,41.5,5.6,3,13.5,Daily,Japan,Office,5.734952675885218
152,U0152,Manager,Management,Senior,Strategy,Notion AI,36.4,7.7,4,21.0,Daily,India,Hybrid,8.206682148700239
153,U0153,Manager,Management,Mid,Strategy,ChatGPT,47.6,9.9,5,19.0,Daily,India,Remote,8.219600996695759
154,U0154,Developer,Tech,Mid,Code Review,Notion AI,30.0,5.6,3,10.7,Daily,USA,Hybrid,5.081024839859441
155,U0155,Financial Analyst,Finance,Junior,Email Drafting,Other,43.8,5.0,2,8.0,Occasional,UK,Office,3.8317029385542245
156,U0156,Developer,Tech,Junior,Bug Fixing,Copilot,49.1,6.7,3,16.3,Weekly,Germany,Office,6.370205488224873
157,U0157,Developer,Tech,Senior,Documentation,Gemini,44.2,6.1,4,19.5,Weekly,USA,Remote,7.856363665115
158,U0158,Designer,Marketing,Senior,Image Generation,ChatGPT,40.3,6.6,3,17.2,Occasional,Germany,Hybrid,6.719135049785301
159,U0159,Financial Analyst,Finance,Junior,Forecasting,Gemini,43.7,5.9,4,16.0,Daily,Germany,Office,6.900215398673494
160,U0160,Developer,Tech,Junior,Documentation,ChatGPT,52.1,6.4,3,15.9,Daily,USA,Hybrid,6.276787225935477
161,U0161,Developer,Tech,Mid,Code Review,Copilot,41.0,8.7,4,22.1,Weekly,USA,Remote,8.343518922272914
162,U0162,Developer,Tech,Junior,Coding Help,Gemini,43.2,8.8,5,22.6,Daily,India,Remote,9.041690333614207
163,U0163,HR Specialist,HR,Mid,Policy Q&A,ChatGPT,35.9,9.0,5,20.1,Daily,USA,Hybrid,8.476501217991599
164,U0164,Marketing Specialist,Marketing,Junior,Email Drafting,Notion AI,34.6,8.0,5,19.1,Occasional,India,Office,8.224280538581986
165,U0165,Data Analyst,Tech,Mid,Visualization,Gemini,39.6,4.2,3,12.0,Daily,India,Office,5.3846341922999805
166,U0166,Financial Analyst,Finance,Mid,Report Writing,Notion AI,41.8,6.2,4,16.5,Daily,UK,Office,7.0356632502213605
167,U0167,Data Analyst,Tech,Junior,Report Writing,Copilot,41.3,3.7,2,11.0,Weekly,India,Remote,4.532339905724699
168,U0168,Manager,Management,Mid,Scheduling,Gemini,42.6,10.9,7,29.1,Daily,Australia,Remote,11.77855933383436
169,U0169,Developer,Tech,Mid,Coding Help,Copilot,35.4,6.3,3,12.0,Occasional,USA,Remote,5.3846341922999805
170,U0170,Manager,Management,Junior,Scheduling,Notion AI,42.3,7.4,2,18.3,Daily,Australia,Office,6.237223192506187
171,U0171,Designer,Marketing,Mid,Asset Creation,Notion AI,42.2,9.3,6,22.0,Weekly,UK,Remote,9.520311571031902
172,U0172,Developer,Tech,Mid,Bug Fixing,Copilot,38.7,10.7,6,28.4,Weekly,India,Remote,11.015003767662247
173,U0173,Designer,Marketing,Mid,Asset Creation,Gemini,39.9,7.2,5,14.7,Occasional,Australia,Remote,7.215354677084744
174,U0174,Data Analyst,Tech,Mid,Report Writing,ChatGPT,38.5,10.4,5,22.8,Daily,Canada,Remote,9.107074488445026
175,U0175,Developer,Tech,Mid,Coding Help,Copilot,43.8,7.6,5,21.4,Daily,USA,Remote,8.780110570432138
176,U0176,Marketing Specialist,Marketing,Senior,Copywriting,ChatGPT,50.8,11.4,5,26.7,Weekly,Japan,Remote,10.137965993489809
177,U0177,Data Analyst,Tech,Mid,Data Analysis,Notion AI,34.3,9.9,5,25.9,Daily,Germany,Hybrid,9.83106602118785
178,U0178,Developer,Tech,Senior,Coding Help,Other,30.5,10.8,5,29.9,Daily,USA,Hybrid,10.88531209180498
179,U0179,Marketing Specialist,Marketing,Mid,Email Drafting,ChatGPT,42.0,5.5,3,14.2,Daily,India,Remote,5.898434634891662
180,U0180,Marketing Specialist,Marketing,Senior,Market Research,Notion AI,39.4,7.8,4,18.5,Daily,India,Hybrid,7.622818009391509
181,U0181,Financial Analyst,Finance,Mid,Forecasting,Gemini,47.0,11.4,7,30.3,Daily,Australia,Office,12.05881412070255
182,U0182,Financial Analyst,Finance,Mid,Data Analysis,Other,43.4,12.6,6,27.4,Daily,USA,Office,10.781458111938756
183,U0183,Financial Analyst,Finance,Senior,Email Drafting,Gemini,43.5,4.2,3,5.3,Weekly,India,Office,3.9399417466757525
184,U0184,Developer,Tech,Junior,Documentation,Gemini,43.9,5.6,3,15.7,Daily,USA,Hybrid,6.230078094790778
185,U0185,Marketing Specialist,Marketing,Mid,Copywriting,Gemini,40.3,7.4,5,19.8,Occasional,USA,Office,8.406437521274551
186,U0186,Designer,Marketing,Mid,Ideation,Gemini,39.0,6.0,3,14.4,Daily,India,Hybrid,5.94514376603636
187,U0187,Designer,Marketing,Senior,Asset Creation,ChatGPT,39.6,5.8,3,15.0,Daily,Germany,Remote,6.20533460719362
188,U0188,Developer,Tech,Mid,Bug Fixing,Copilot,45.5,13.8,8,35.3,Weekly,UK,Office,13.826616006485676
189,U0189,Developer,Tech,Junior,Bug Fixing,ChatGPT,36.2,7.6,4,24.5,Weekly,USA,Hybrid,8.885353472323173
190,U0190,Designer,Marketing,Mid,Copywriting,Notion AI,44.1,8.0,5,21.9,Daily,Germany,Remote,8.896883398293884
191,U0191,Financial Analyst,Finance,Junior,Email Drafting,Gemini,44.0,5.4,3,10.1,Weekly,Germany,Hybrid,4.922222422739225
192,U0192,Marketing Specialist,Marketing,Mid,Email Drafting,Notion AI,51.4,9.6,5,23.7,Daily,Germany,Remote,9.317265578596169
193,U0193,HR Specialist,HR,Mid,Policy Q&A,Other,42.7,7.3,1,18.4,Daily,UK,Office,5.679179174598989
194,U0194,Marketing Specialist,Marketing,Mid,Copywriting,Notion AI,44.0,6.0,4,16.9,Weekly,India,Remote,7.129081512510757
195,U0195,Data Analyst,Tech,Senior,Data Analysis,ChatGPT,37.3,6.4,2,10.8,Daily,USA,Office,4.624369245989287
196,U0196,Developer,Tech,Senior,Coding Help,Copilot,39.5,10.2,5,30.1,Occasional,USA,Remote,10.93202122294968
197,U0197,Developer,Tech,Senior,Documentation,ChatGPT,34.9,11.9,5,30.7,Daily,India,Remote,11.072148616383775
198,U0198,Designer,Marketing,Senior,Ideation,Notion AI,35.7,9.0,5,25.9,Daily,USA,Hybrid,9.951129468911015
199,U0199,Designer,Marketing,Mid,Asset Creation,Gemini,35.7,7.6,5,15.7,Daily,India,Hybrid,7.448900332808236
200,U0200,Developer,Tech,Senior,Coding Help,Gemini,38.7,13.5,9,28.8,Weekly,Australia,Hybrid,13.028706299171816
201,U0201,Developer,Tech,Mid,Documentation,Gemini,41.2,10.6,6,24.1,Daily,USA,Hybrid,10.010757448051233
202,U0202,Manager,Management,Mid,Strategy,ChatGPT,41.7,8.9,4,25.0,Daily,USA,Hybrid,9.020801323871039
203,U0203,Developer,Tech,Mid,Coding Help,Gemini,50.6,8.5,6,19.0,Daily,USA,Hybrid,8.819674603861428
204,U0204,Manager,Management,Mid,Strategy,ChatGPT,39.0,7.9,4,18.9,Weekly,USA,Remote,7.59617282395774
205,U0205,Developer,Tech,Senior,Coding Help,Copilot,39.6,14.9,8,34.3,Daily,India,Hybrid,13.71313379848535
206,U0206,Financial Analyst,Finance,Mid,Data Analysis,Gemini,40.4,7.1,4,14.3,Daily,Japan,Hybrid,6.521862807629679
207,U0207,Designer,Marketing,Junior,Copywriting,Notion AI,45.4,0.5,1,3.0,Weekly,USA,Remote,2.0639010527710973
208,U0208,Designer,Marketing,Mid,Asset Creation,Gemini,39.7,10.8,6,29.8,Daily,USA,Remote,11.341967685675137
209,U0209,Marketing Specialist,Marketing,Mid,Market Research,ChatGPT,38.8,4.6,2,7.0,Weekly,India,Hybrid,3.616832306516854
210,U0210,HR Specialist,HR,Mid,Email Drafting,Gemini,40.1,2.0,2,3.6,Daily,Canada,Office,2.8227770770569833
