employee_index,user_id,user_role,department,experience_level,task_type,AI_tool_used,hours_worked_per_week,time_saved_per_week,satisfaction_score,performance_improvement_pct,usage_frequency,country,remote_status
85,U0085,Developer,Tech,Junior,Coding Help,Copilot,43.1,14.4,7,30.8,Daily,USA,Remote
86,U0086,Developer,Tech,Junior,Coding Help,Gemini,50.8,7.4,4,18.4,Daily,USA,Hybrid
87,U0087,Developer,Tech,Junior,Documentation,Other,44.1,0.5,1,2.1,Daily,USA,Office
88,U0088,Manager,Management,Mid,Report Writing,Notion AI,45.3,4.8,3,9.6,Occasional,UK,Hybrid
89,U0089,Designer,Marketing,Mid,Image Generation,Gemini,39.1,8.3,5,18.8,Daily,USA,Office
90,U0090,Designer,Marketing,Junior,Ideation,Other,46.7,4.7,1,8.3,Weekly,USA,Hybrid
91,U0091,Developer,Tech,Mid,Bug Fixing,Copilot,39.2,6.9,4,18.3,Weekly,India,Office
92,U0092,Manager,Management,Senior,Email Drafting,Gemini,36.9,8.0,5,21.9,Daily,Japan,Hybrid
93,U0093,Developer,Tech,Junior,Coding Help,Copilot,40.7,8.1,5,24.0,Weekly,USA,Hybrid
94,U0094,Manager,Management,Mid,Scheduling,ChatGPT,43.7,6.0,3,13.3,Weekly,India,Hybrid
95,U0095,Data Analyst,Tech,Junior,Report Writing,Notion AI,47.8,5.9,3,12.3,Weekly,India,Office
96,U0096,Developer,Tech,Mid,Coding Help,Copilot,42.3,11.9,6,24.8,Daily,Japan,Hybrid
97,U0097,HR Specialist,HR,Junior,Email Drafting,Notion AI,44.9,5.3,3,13.8,Daily,Canada,Office
98,U0098,Marketing Specialist,Marketing,Junior,Copywriting,Notion AI,44.7,11.6,6,30.2,Daily,Canada,Remote
99,U0099,Designer,Marketing,Junior,Ideation,Gemini,43.9,9.8,6,24.6,Daily,India,Remote
100,U0100,Data Analyst,Tech,Senior,Visualization,Notion AI,45.1,8.0,5,22.9,Occasional,Germany,Remote
101,U0101,Designer,Marketing,Mid,Asset Creation,Copilot,45.7,10.6,6,26.2,Daily,USA,Hybrid
102,U0102,Marketing Specialist,Marketing,Mid,Email Drafting,ChatGPT,48.6,10.3,5,30.7,Daily,Canada,Hybrid
103,U0103,HR Specialist,HR,Mid,Report Writing,ChatGPT,43.0,8.4,5,24.8,Weekly,USA,Hybrid
104,U0104,HR Specialist,HR,Mid,Report Writing,Gemini,44.8,10.9,6,26.0,Daily,USA,Office
105,U0105,Data Analyst,Tech,Junior,Data Analysis,Gemini,44.6,5.4,3,14.6,Daily,Australia,Hybrid
106,U0106,Developer,Tech,Senior,Documentation,Gemini,48.7,10.6,6,29.5,Daily,UK,Remote
107,U0107,Data Analyst,Tech,Mid,Query Generation,Gemini,44.4,6.0,5,13.4,Occasional,Germany,Hybrid
108,U0108,Manager,Management,Senior,Scheduling,ChatGPT,40.5,6.1,2,16.2,Occasional,Australia,Office
109,U0109,Financial Analyst,Finance,Mid,Email Drafting,Gemini,43.8,6.0,5,14.7,Weekly,USA,Office
110,U0110,Financial Analyst,Finance,Mid,Report Writing,Gemini,43.3,10.2,6,31.4,Daily,USA,Office
111,U0111,Developer,Tech,Mid,Coding Help,Copilot,50.7,10.1,5,23.7,Daily,USA,Remote
112,U0112,Developer,Tech,Mid,Documentation,Other,33.5,9.1,4,18.5,Daily,Japan,Remote
113,U0113,HR Specialist,HR,Mid,Policy Q&A,ChatGPT,45.0,8.0,4,21.6,Weekly,USA,Hybrid
114,U0114,HR Specialist,HR,Junior,Email Drafting,Gemini,41.2,9.4,6,22.5,Daily,Japan,Hybrid
115,U0115,Data Analyst,Tech,Mid,Visualization,Gemini,37.8,5.4,4,13.3,Weekly,Japan,Hybrid
116,U0116,HR Specialist,HR,Senior,Job Description Writing,Notion AI,43.8,5.9,2,12.3,Daily,Canada,Office
117,U0117,Marketing Specialist,Marketing,Senior,Email Drafting,Notion AI,34.7,9.7,5,22.0,Daily,Japan,Hybrid
118,U0118,Manager,Management,Mid,Email Drafting,ChatGPT,48.2,10.5,5,26.0,Weekly,Australia,Remote
119,U0119,Developer,Tech,Mid,Documentation,ChatGPT,44.1,8.5,4,12.1,Daily,India,Hybrid
120,U0120,Developer,Tech,Mid,Documentation,Copilot,40.2,7.6,4,21.7,Daily,India,Remote
121,U0121,Designer,Marketing,Mid,Copywriting,Notion AI,45.6,12.4,8,34.0,Daily,USA,Remote
122,U0122,HR Specialist,HR,Junior,Report Writing,Gemini,39.1,11.1,6,28.6,Daily,India,Office
123,U0123,Manager,Management,Mid,Email Drafting,Copilot,44.2,12.9,6,33.0,Daily,USA,Remote
124,U0124,Manager,Management,Mid,Report Writing,ChatGPT,43.8,8.3,4,23.8,Daily,USA,Remote
125,U0125,Marketing Specialist,Marketing,Mid,Email Drafting,Gemini,47.6,7.7,4,29.0,Daily,USA,Remote
126,U0126,Designer,Marketing,Junior,Ideation,Other,45.3,7.1,2,17.5,Weekly,India,Hybrid
127,U0127,Developer,Tech,Senior,Code Review,Copilot,48.9,9.5,5,24.0,Daily,Germany,Hybrid
128,U0128,Marketing Specialist,Marketing,Mid,Copywriting,Gemini,44.1,2.0,1,9.4,Weekly,Canada,Remote
129,U0129,Data Analyst,Tech,Mid,Data Analysis,Notion AI,39.2,4.0,2,7.7,Daily,USA,Remote
130,U0130,Data Analyst,Tech,Senior,Query Generation,ChatGPT,39.5,9.5,6,20.8,Weekly,Germany,Remote
131,U0131,Developer,Tech,Junior,Code Review,Gemini,49.8,7.0,5,14.2,Weekly,Japan,Hybrid
132,U0132,Developer,Tech,Mid,Documentation,ChatGPT,32.5,3.8,3,8.6,Weekly,USA,Office
133,U0133,HR Specialist,HR,Mid,Report Writing,ChatGPT,39.0,12.3,6,33.6,Daily,UK,Office
134,U0134,Manager,Management,Junior,Scheduling,Other,39.5,5.7,2,13.4,Daily,USA,Hybrid
135,U0135,Marketing Specialist,Marketing,Junior,Market Research,Gemini,35.5,5.0,4,10.5,Weekly,USA,Office
136,U0136,Developer,Tech,Junior,Code Review,ChatGPT,40.2,6.7,3,12.1,Daily,USA,Remote
137,U0137,Financial Analyst,Finance,Mid,Forecasting,Gemini,37.3,5.6,4,15.4,Daily,USA,Office
138,U0138,Manager,Management,Senior,Report Writing,ChatGPT,32.6,9.6,5,27.8,Daily,USA,Remote
139,U0139,Marketing Specialist,Marketing,Junior,Market Research,Notion AI,38.6,9.3,6,15.8,Daily,UK,Remote
140,U0140,HR Specialist,HR,Senior,Job Description Writing,Notion AI,47.1,10.4,5,27.8,Daily,USA,Office
141,U0141,Developer,Tech,Mid,Code Review,Gemini,39.1,10.6,7,26.0,Daily,USA,Hybrid
142,U0142,Designer,Marketing,Mid,Ideation,Gemini,40.5,11.0,5,26.3,Daily,Germany,Hybrid
143,U0143,HR Specialist,HR,Senior,Email Drafting,Notion AI,41.0,4.9,4,14.3,Occasional,USA,Remote
144,U0144,Designer,Marketing,Senior,Asset Creation,Gemini,42.5,8.9,6,23.4,Weekly,USA,Hybrid
145,U0145,Developer,Tech,Mid,Code Review,ChatGPT,41.0,11.9,6,27.6,Daily,Germany,Remote
146,U0146,Data Analyst,Tech,Junior,Query Generation,Gemini,32.8,5.1,3,8.7,Weekly,Germany,Remote
147,U0147,Designer,Marketing,Mid,Image Generation,Notion AI,43.5,5.8,4,18.5,Daily,Germany,Remote
148,U0148,Developer,Tech,Mid,Code Review,Copilot,44.0,14.3,8,35.2,Daily,Japan,Remote
149,U0149,HR Specialist,HR,Mid,Report Writing,ChatGPT,41.8,6.8,4,18.1,Daily,India,Hybrid
150,U0150,Data Analyst,Tech,Senior,Visualization,Gemini,45.4,6.4,4,14.1,Weekly,USA,Hybrid
151,U0151,Financial Analyst,Finance,Mid,Email Drafting,Other,41.5,5.6,3,13.5,Daily,Japan,Office
152,U0152,Manager,Management,Senior,Strategy,Notion AI,36.4,7.7,4,21.0,Daily,India,Hybrid
153,U0153,Manager,Management,Mid,Strategy,ChatGPT,47.6,9.9,5,19.0,Daily,India,Remote
154,U0154,Developer,Tech,Mid,Code Review,Notion AI,30.0,5.6,3,10.7,Daily,USA,Hybrid
155,U0155,Financial Analyst,Finance,Junior,Email Drafting,Other,43.8,5.0,2,8.0,Occasional,UK,Office
156,U0156,Developer,Tech,Junior,Bug Fixing,Copilot,49.1,6.7,3,16.3,Weekly,Germany,Office
157,U0157,Developer,Tech,Senior,Documentation,Gemini,44.2,6.1,4,19.5,Weekly,USA,Remote
158,U0158,Designer,Marketing,Senior,Image Generation,ChatGPT,40.3,6.6,3,17.2,Occasional,Germany,Hybrid
159,U0159,Financial Analyst,Finance,Junior,Forecasting,Gemini,43.7,5.9,4,16.0,Daily,Germany,Office
160,U0160,Developer,Tech,Junior,Documentation,ChatGPT,52.1,6.4,3,15.9,Daily,USA,Hybrid
161,U0161,Developer,Tech,Mid,Code Review,Copilot,41.0,8.7,4,22.1,Weekly,USA,Remote
162,U0162,Developer,Tech,Junior,Coding Help,Gemini,43.2,8.8,5,22.6,Daily,India,Remote
163,U0163,HR Specialist,HR,Mid,Policy Q&A,ChatGPT,35.9,9.0,5,20.1,Daily,USA,Hybrid
164,U0164,Marketing Specialist,Marketing,Junior,Email Drafting,Notion AI,34.6,8.0,5,19.1,Occasional,India,Office
165,U0165,Data Analyst,Tech,Mid,Visualization,Gemini,39.6,4.2,3,12.0,Daily,India,Office
166,U0166,Financial Analyst,Finance,Mid,Report Writing,Notion AI,41.8,6.2,4,16.5,Daily,UK,Office
167,U0167,Data Analyst,Tech,Junior,Report Writing,Copilot,41.3,3.7,2,11.0,Weekly,India,Remote
168,U0168,Manager,Management,Mid,Scheduling,Gemini,42.6,10.9,7,29.1,Daily,Australia,Remote
169,U0169,Developer,Tech,Mid,Coding Help,Copilot,35.4,6.3,3,12.0,Occasional,USA,Remote
170,U0170,Manager,Management,Junior,Scheduling,Notion AI,42.3,7.4,2,18.3,Daily,Australia,Office
171,U0171,Designer,Marketing,Mid,Asset Creation,Notion AI,42.2,9.3,6,22.0,Weekly,UK,Remote
172,U0172,Developer,Tech,Mid,Bug Fixing,Copilot,38.7,10.7,6,28.4,Weekly,India,Remote
173,U0173,Designer,Marketing,Mid,Asset Creation,Gemini,39.9,7.2,5,14.7,Occasional,Australia,Remote
174,U0174,Data Analyst,Tech,Mid,Report Writing,ChatGPT,38.5,10.4,5,22.8,Daily,Canada,Remote
175,U0175,Developer,Tech,Mid,Coding Help,Copilot,43.8,7.6,5,21.4,Daily,USA,Remote
176,U0176,Marketing Specialist,Marketing,Senior,Copywriting,ChatGPT,50.8,11.4,5,26.7,Weekly,Japan,Remote
177,U0177,Data Analyst,Tech,Mid,Data Analysis,Notion AI,34.3,9.9,5,25.9,Daily,Germany,Hybrid
178,U0178,Developer,Tech,Senior,Coding Help,Other,30.5,10.8,5,29.9,Daily,USA,Hybrid
179,U0179,Marketing Specialist,Marketing,Mid,Email Drafting,ChatGPT,42.0,5.5,3,14.2,Daily,India,Remote
180,U0180,Marketing Specialist,Marketing,Senior,Market Research,Notion AI,39.4,7.8,4,18.5,Daily,India,Hybrid
181,U0181,Financial Analyst,Finance,Mid,Forecasting,Gemini,47.0,11.4,7,30.3,Daily,Australia,Office
182,U0182,Financial Analyst,Finance,Mid,Data Analysis,Other,43.4,12.6,6,27.4,Daily,USA,Office
183,U0183,Financial Analyst,Finance,Senior,Email Drafting,Gemini,43.5,4.2,3,5.3,Weekly,India,Office
184,U0184,Developer,Tech,Junior,Documentation,Gemini,43.9,5.6,3,15.7,Daily,USA,Hybrid
185,U0185,Marketing Specialist,Marketing,Mid,Copywriting,Gemini,40.3,7.4,5,19.8,Occasional,USA,Office
186,U0186,Designer,Marketing,Mid,Ideation,Gemini,39.0,6.0,3,14.4,Daily,India,Hybrid
187,U0187,Designer,Marketing,Senior,Asset Creation,ChatGPT,39.6,5.8,3,15.0,Daily,Germany,Remote
188,U0188,Developer,Tech,Mid,Bug Fixing,Copilot,45.5,13.8,8,35.3,Weekly,UK,Office
189,U0189,Developer,Tech,Junior,Bug Fixing,ChatGPT,36.2,7.6,4,24.5,Weekly,USA,Hybrid
190,U0190,Designer,Marketing,Mid,Copywriting,Notion AI,44.1,8.0,5,21.9,Daily,Germany,Remote
191,U0191,Financial Analyst,Finance,Junior,Email Drafting,Gemini,44.0,5.4,3,10.1,Weekly,Germany,Hybrid
192,U0192,Marketing Specialist,Marketing,Mid,Email Drafting,Notion AI,51.4,9.6,5,23.7,Daily,Germany,Remote
193,U0193,HR Specialist,HR,Mid,Policy Q&A,Other,42.7,7.3,1,18.4,Daily,UK,Office
194,U0194,Marketing Specialist,Marketing,Mid,Copywriting,Notion AI,44.0,6.0,4,16.9,Weekly,India,Remote
195,U0195,Data Analyst,Tech,Senior,Data Analysis,ChatGPT,37.3,6.4,2,10.8,Daily,USA,Office
196,U0196,Developer,Tech,Senior,Coding Help,Copilot,39.5,10.2,5,30.1,Occasional,USA,Remote
197,U0197,Developer,Tech,Senior,Documentation,ChatGPT,34.9,11.9,5,30.7,Daily,India,Remote
198,U0198,Designer,Marketing,Senior,Ideation,Notion AI,35.7,9.0,5,25.9,Daily,USA,Hybrid
199,U0199,Designer,Marketing,Mid,Asset Creation,Gemini,35.7,7.6,5,15.7,Daily,India,Hybrid
200,U0200,Developer,Tech,Senior,Coding Help,Gemini,38.7,13.5,9,28.8,Weekly,Australia,Hybrid
201,U0201,Developer,Tech,Mid,Documentation,Gemini,41.2,10.6,6,24.1,Daily,USA,Hybrid
202,U0202,Manager,Management,Mid,Strategy,ChatGPT,41.7,8.9,4,25.0,Daily,USA,Hybrid
203,U0203,Developer,Tech,Mid,Coding Help,Gemini,50.6,8.5,6,19.0,Daily,USA,Hybrid
204,U0204,Manager,Management,Mid,Strategy,ChatGPT,39.0,7.9,4,18.9,Weekly,USA,Remote
205,U0205,Developer,Tech,Senior,Coding Help,Copilot,39.6,14.9,8,34.3,Daily,India,Hybrid
206,U0206,Financial Analyst,Finance,Mid,Data Analysis,Gemini,40.4,7.1,4,14.3,Daily,Japan,Hybrid
207,U0207,Designer,Marketing,Junior,Copywriting,Notion AI,45.4,0.5,1,3.0,Weekly,USA,Remote
208,U0208,Designer,Marketing,Mid,Asset Creation,Gemini,39.7,10.8,6,29.8,Daily,USA,Remote
209,U0209,Marketing Specialist,Marketing,Mid,Market Research,ChatGPT,38.8,4.6,2,7.0,Weekly,India,Hybrid
210,U0210,HR Specialist,HR,Mid,Email Drafting,Gemini,40.1,2.0,2,3.6,Daily,Canada,Office
211,U0211,Developer,Tech,Junior,Code Review,Copilot,50.5,9.9,4,21.4,Daily,Canada,Hybrid
212,U0212,Marketing Specialist,Marketing,Mid,Market Research,ChatGPT,41.6,12.8,6,31.1,Daily,USA,Remote
213,U0213,Financial Analyst,Finance,Mid,Report Writing,Gemini,40.0,10.6,7,32.0,Weekly,Germany,Office
214,U0214,Marketing Specialist,Marketing,Junior,Copywriting,Other,52.9,6.7,3,17.5,Weekly,USA,Hybrid
215,U0215,Financial Analyst,Finance,Mid,Email Drafting,ChatGPT,41.6,5.8,3,10.4,Daily,India,Office
216,U0216,Developer,Tech,Senior,Coding Help,Copilot,31.7,9.0,5,23.2,Occasional,India,Hybrid
217,U0217,Manager,Management,Junior,Email Drafting,Gemini,34.5,11.9,9,26.8,Daily,India,Remote
218,U0218,HR Specialist,HR,Senior,Policy Q&A,Other,47.7,8.0,3,14.1,Weekly,USA,Hybrid
219,U0219,Designer,Marketing,Mid,Ideation,Gemini,51.5,7.2,5,20.4,Weekly,USA,Remote
220,U0220,Developer,Tech,Mid,Documentation,Gemini,40.3,2.9,3,10.9,Weekly,USA,Office
221,U0221,Data Analyst,Tech,Mid,Report Writing,ChatGPT,36.4,6.9,4,12.3,Weekly,India,Hybrid
222,U0222,Marketing Specialist,Marketing,Junior,Market Research,Notion AI,45.9,9.0,4,24.5,Weekly,USA,Remote
223,U0223,Developer,Tech,Mid,Documentation,ChatGPT,45.4,9.1,4,27.7,Daily,USA,Remote
224,U0224,HR Specialist,HR,Mid,Policy Q&A,Copilot,45.0,8.9,6,21.9,Daily,USA,Office
225,U0225,Marketing Specialist,Marketing,Junior,Copywriting,ChatGPT,51.5,9.2,5,26.8,Daily,UK,Hybrid
226,U0226,Manager,Management,Junior,Scheduling,Notion AI,46.3,6.0,5,16.8,Occasional,UK,Office
227,U0227,Developer,Tech,Senior,Code Review,Copilot,45.1,8.0,4,19.9,Occasional,India,Hybrid
228,U0228,Marketing Specialist,Marketing,Mid,Market Research,ChatGPT,46.6,9.3,4,22.2,Daily,India,Hybrid
229,U0229,Marketing Specialist,Marketing,Junior,Market Research,ChatGPT,44.1,12.3,5,30.0,Daily,Germany,Remote
230,U0230,Financial Analyst,Finance,Junior,Email Drafting,Gemini,45.4,6.2,3,17.8,Daily,UK,Office
231,U0231,HR Specialist,HR,Mid,Email Drafting,Other,43.6,9.9,2,27.4,Daily,USA,Office
232,U0232,Designer,Marketing,Mid,Asset Creation,Gemini,43.9,4.1,3,11.4,Occasional,USA,Hybrid
233,U0233,Developer,Tech,Mid,Bug Fixing,ChatGPT,46.6,6.8,3,14.7,Daily,India,Remote
234,U0234,Developer,Tech,Senior,Code Review,Copilot,38.4,8.5,5,16.2,Occasional,India,Remote
235,U0235,Designer,Marketing,Senior,Image Generation,Notion AI,40.2,11.4,6,32.3,Daily,India,Office
236,U0236,Developer,Tech,Mid,Documentation,Copilot,49.2,8.1,4,23.4,Occasional,USA,Hybrid
237,U0237,Developer,Tech,Junior,Coding Help,Other,39.6,7.3,3,16.8,Daily,USA,Hybrid
238,U0238,Developer,Tech,Junior,Bug Fixing,Copilot,37.7,9.1,4,24.2,Weekly,India,Hybrid
239,U0239,Designer,Marketing,Mid,Copywriting,Other,36.2,11.0,5,26.9,Daily,USA,Remote
240,U0240,Marketing Specialist,Marketing,Mid,Market Research,ChatGPT,42.2,9.1,5,25.7,Daily,Japan,Hybrid
